anio	estado_civil	edad	raza	ingreso	partido	religion	denominacion	horas_tv
2000	Nunca se ha casado	44	Blanca	25000 o más	Fuertemente demócrata	Protestante	Evangélica luterana	NA
2000	Nunca se ha casado	20	Blanca	20000 - 24999	Independiente	Protestante	Otra	1
2000	Casado	46	Blanca	25000 o más	No fuertemente republicano	Protestante	Iglesia metodista unida	4
2000	Nunca se ha casado	30	Blanca	1000 - 2999	No fuertemente republicano	Ninguna	No aplica	NA
2000	Divorciado	56	Blanca	15000 - 19999	Fuertemente republicano	Protestante	Otra	2
2000	Nunca se ha casado	23	Blanca	No aplica	No fuertemente republicano	Protestante	Unión presbiteriana de iglesias	NA
2000	Casado	37	Blanca	Menos de 1000	Independiente	Protestante	Bautista, no sabe cuál	14
2000	Nunca se ha casado	28	Negra	Menos de 1000	Independiente	Protestante	No denominacional	NA
2000	Nunca se ha casado	51	Blanca	15000 - 19999	Independiente	Protestante	Evangélica luterana	NA
2000	Nunca se ha casado	23	Blanca	20000 - 24999	Fuertemente republicano	Católica	No aplica	1
2000	Casado	26	Blanca	8000 - 9999	No fuertemente demócrata	Protestante	Iglesia metodista unida	2
2000	Nunca se ha casado	23	Blanca	10000 - 14999	Fuertemente republicano	Ninguna	No aplica	1
2000	Nunca se ha casado	26	Blanca	20000 - 24999	No fuertemente republicano	Protestante	Sínodo luterano	3
2000	Casado	44	Blanca	No aplica	Fuertemente republicano	Protestante	Bautistas del sur	3
2000	Divorciado	62	Blanca	No aplica	No fuertemente republicano	Protestante	Iglesia metodista unida	4
2000	Casado	37	Blanca	20000 - 24999	No fuertemente republicano	Protestante	Iglesia metodista unida	3
2000	Casado	42	Blanca	25000 o más	No fuertemente republicano	Protestante	Otra	1
2000	Casado	63	Blanca	No aplica	No fuertemente republicano	Protestante	Bautista, no sabe cuál	6
2000	Separado	41	Blanca	No aplica	No fuertemente demócrata	Protestante	Bautista, no sabe cuál	8
2000	Nunca se ha casado	52	Blanca	3000 - 3999	No fuertemente republicano	Protestante	Otra	NA
2000	Casado	32	Blanca	20000 - 24999	No fuertemente republicano	Protestante	Otra	NA
2000	Casado	69	Blanca	No aplica	Ind, pro rep	Ninguna	No aplica	2
2000	Casado	31	Blanca	25000 o más	Independiente	Protestante	Iglesia metodista unida	NA
2000	Casado	20	Blanca	No aplica	Fuertemente republicano	Protestante	Otra	2
2000	Viudo	79	Blanca	25000 o más	Fuertemente republicano	Protestante	Bautistas del sur	2
2000	Casado	46	Blanca	10000 - 14999	Fuertemente republicano	Protestante	Bautistas del sur	NA
2000	Casado	31	Blanca	15000 - 19999	No fuertemente republicano	Protestante	Iglesia metodista unida	1
2000	Divorciado	41	Blanca	10000 - 14999	Independiente	Ninguna	No aplica	1
2000	Divorciado	42	Blanca	10000 - 14999	Independiente	Protestante	Bautistas del sur	1
2000	Viudo	47	Blanca	No aplica	No fuertemente demócrata	Protestante	Otra	4
2000	Divorciado	44	Blanca	No aplica	Ind, pro dem	Protestante	Bautistas del sur	NA
2000	Casado	20	Blanca	5000 - 5999	Independiente	Protestante	Iglesia metodista unida	2
2000	Divorciado	50	Blanca	25000 o más	No fuertemente republicano	Protestante	Bautistas del sur	4
2000	Casado	49	Blanca	No aplica	No fuertemente republicano	Protestante	Otra	4
2000	Casado	58	Blanca	No aplica	No fuertemente republicano	Protestante	Otra	6
2000	Casado	29	Blanca	No aplica	No fuertemente republicano	Protestante	Otra	6
2000	Viudo	75	Blanca	No aplica	Sin respuesta	Protestante	Otra	NA
2000	Casado	45	Blanca	No aplica	Ind, pro dem	Ninguna	No aplica	15
2000	Casado	54	Blanca	20000 - 24999	Ind, pro rep	Ninguna	No aplica	NA
2000	Divorciado	25	Blanca	15000 - 19999	No fuertemente republicano	Protestante	Bautista, no sabe cuál	12
2000	Casado	68	Blanca	No aplica	No fuertemente republicano	Protestante	Iglesia metodista unida	6
2000	Casado	39	Blanca	25000 o más	No fuertemente republicano	Protestante	Iglesia metodista unida	1
2000	Casado	46	Blanca	25000 o más	Fuertemente republicano	Protestante	Bautista, no sabe cuál	3
2000	Casado	60	Blanca	25000 o más	No fuertemente republicano	Protestante	Iglesia metodista unida	1
2000	Nunca se ha casado	73	Blanca	10000 - 14999	No fuertemente demócrata	Protestante	Otra	NA
2000	Separado	27	Negra	1000 - 2999	Ind, pro dem	Protestante	Convención nacional baptista de america	NA
2000	Nunca se ha casado	20	Negra	Menos de 1000	Independiente	Católica	No aplica	4
2000	Nunca se ha casado	21	Negra	1000 - 2999	Independiente	Católica	No aplica	NA
2000	Nunca se ha casado	22	Negra	No sabe	Independiente	Protestante	Bautistas del sur	5
2000	Nunca se ha casado	49	Negra	8000 - 9999	Fuertemente republicano	Protestante	Bautistas del sur	4
2000	Divorciado	52	Negra	No aplica	Fuertemente demócrata	Ninguna	No aplica	NA
2000	Nunca se ha casado	43	Negra	No aplica	Independiente	Católica	No aplica	1
2000	Nunca se ha casado	47	Negra	No aplica	Independiente	Protestante	Iglesia africana metodista episcopal de Sion	3
2000	Viudo	79	Negra	No aplica	Independiente	Protestante	Bautistas del sur	1
2000	Nunca se ha casado	43	Negra	5000 - 5999	Independiente	Protestante	Bautistas del sur	8
2000	Casado	35	Negra	Se niega a responder	Fuertemente republicano	Católica	No aplica	4
2000	Separado	27	Blanca	10000 - 14999	Independiente	Ninguna	No aplica	1
2000	Casado	55	Negra	No aplica	Fuertemente demócrata	Protestante	Bautistas del sur	NA
2000	Casado	42	Blanca	Se niega a responder	No fuertemente demócrata	Católica	No aplica	NA
2000	Nunca se ha casado	58	Negra	6000 - 6999	Independiente	Católica	No aplica	0
2000	Nunca se ha casado	29	Negra	10000 - 14999	Fuertemente demócrata	Católica	No aplica	NA
2000	Nunca se ha casado	23	Negra	4000 - 4999	Fuertemente demócrata	Protestante	No denominacional	2
2000	Viudo	66	Blanca	No aplica	Ind, pro rep	Católica	No aplica	0
2000	Casado	28	Blanca	20000 - 24999	Independiente	Católica	No aplica	NA
2000	Casado	49	Blanca	25000 o más	No fuertemente republicano	Ninguna	No aplica	3
2000	Casado	53	Blanca	No aplica	No fuertemente republicano	Protestante	Metodista, no sabe cuál	3
2000	Divorciado	42	Blanca	25000 o más	No fuertemente republicano	Ninguna	No aplica	2
2000	Casado	35	Blanca	4000 - 4999	Independiente	Protestante	Iglesia metodista unida	3
2000	Divorciado	43	Blanca	25000 o más	Independiente	Ninguna	No aplica	NA
2000	Casado	61	Blanca	25000 o más	Fuertemente demócrata	Protestante	Iglesia metodista unida	6
2000	Casado	41	Blanca	25000 o más	Fuertemente republicano	Protestante	Convención nacional baptista de america	NA
2000	Casado	45	Blanca	25000 o más	Independiente	Ninguna	No aplica	2
2000	Casado	36	Blanca	No aplica	No fuertemente demócrata	Ninguna	No aplica	NA
2000	Casado	69	Blanca	8000 - 9999	Ind, pro dem	Protestante	Bautista, no sabe cuál	NA
2000	Casado	38	Blanca	25000 o más	Fuertemente demócrata	Ninguna	No aplica	1
2000	Casado	59	Blanca	20000 - 24999	No fuertemente republicano	Protestante	Otras metodistas	NA
2000	Casado	23	Blanca	15000 - 19999	No fuertemente demócrata	Ninguna	No aplica	NA
2000	Divorciado	34	Blanca	Menos de 1000	Ind, pro rep	Católica	No aplica	2
2000	Nunca se ha casado	20	Blanca	Menos de 1000	Ind, pro rep	Ninguna	No aplica	5
2000	Viudo	77	Blanca	No aplica	No fuertemente demócrata	Protestante	Otra	5
2000	Casado	27	Blanca	15000 - 19999	Independiente	Cristiana	No aplica	2
2000	Casado	34	Blanca	25000 o más	No fuertemente republicano	Protestante	Otra	NA
2000	Casado	58	Blanca	No aplica	Ind, pro dem	Protestante	Otra	2
2000	Casado	32	Otra	25000 o más	Ind, pro rep	Protestante	Iglesias bautistas de EEUU	1
2000	Casado	34	Blanca	25000 o más	No fuertemente republicano	Católica	No aplica	2
2000	Casado	71	Blanca	No aplica	Ind, pro rep	Protestante	Otra	NA
2000	Viudo	81	Blanca	No aplica	Fuertemente demócrata	Católica	No aplica	5
2000	Casado	37	Blanca	25000 o más	Fuertemente republicano	Protestante	Otra	2
2000	Casado	34	Blanca	4000 - 4999	Ind, pro rep	Católica	No aplica	1
2000	Casado	68	Blanca	No sabe	Fuertemente republicano	Protestante	No denominacional	2
2000	Casado	40	Blanca	No aplica	Fuertemente demócrata	Católica	No aplica	2
2000	Viudo	65	Blanca	No aplica	Ind, pro rep	Protestante	Bautista, no sabe cuál	2
2000	Nunca se ha casado	20	Blanca	No aplica	No fuertemente republicano	Protestante	Otras bautistas	NA
2000	Casado	32	Blanca	20000 - 24999	Ind, pro rep	Ninguna	No aplica	4
2000	Casado	78	Blanca	No aplica	Ind, pro dem	Protestante	Iglesia metodista unida	3
2000	Divorciado	41	Blanca	15000 - 19999	No fuertemente republicano	Protestante	Sin respuesta	NA
2000	Divorciado	82	Blanca	No aplica	No fuertemente demócrata	Protestante	Metodista, no sabe cuál	NA
2000	Casado	35	Blanca	25000 o más	Fuertemente republicano	Ninguna	No aplica	NA
2000	Casado	39	Blanca	25000 o más	No fuertemente republicano	Católica	No aplica	1
2000	Casado	47	Blanca	25000 o más	No fuertemente republicano	Protestante	Iglesia metodista unida	NA
2000	Casado	55	Blanca	25000 o más	Ind, pro rep	Protestante	Iglesia luterana americana	NA
2000	Casado	40	Blanca	25000 o más	No fuertemente republicano	Protestante	Evangélica luterana	NA
2000	Casado	61	Blanca	No aplica	Ind, pro dem	Católica	No aplica	6
2000	Viudo	84	Blanca	No aplica	Ind, pro dem	Protestante	Presbiteriana, fusionadas	NA
2000	Casado	52	Blanca	25000 o más	No fuertemente demócrata	Católica	No aplica	NA
2000	Casado	43	Blanca	25000 o más	No fuertemente republicano	Protestante	Otras luteranas	2
2000	Casado	29	Blanca	10000 - 14999	Independiente	Protestante	Evangélica luterana	1
2000	Casado	50	Blanca	25000 o más	No fuertemente republicano	Protestante	Evangélica luterana	4
2000	Casado	57	Blanca	No aplica	Fuertemente demócrata	Protestante	Metodista, no sabe cuál	4
2000	Nunca se ha casado	52	Blanca	25000 o más	No fuertemente demócrata	Católica	No aplica	1
2000	Casado	62	Blanca	Sin respuesta	Ind, pro dem	Católica	No aplica	NA
2000	Casado	75	Blanca	No aplica	Sin respuesta	Católica	No aplica	NA
2000	Casado	42	Blanca	Se niega a responder	No fuertemente republicano	Católica	No aplica	2
2000	Casado	57	Blanca	No aplica	No fuertemente republicano	Protestante	Iglesia luterana americana	2
2000	Casado	28	Blanca	25000 o más	No fuertemente republicano	Protestante	Bautistas del sur	1
2000	Viudo	74	Blanca	No aplica	Independiente	Protestante	Bautistas del sur	4
2000	Casado	56	Blanca	20000 - 24999	Ind, pro rep	Protestante	Iglesia metodista unida	NA
2000	Casado	25	Negra	Menos de 1000	Fuertemente demócrata	Protestante	Iglesia africana metodista episcopal de Sion	NA
2000	Nunca se ha casado	31	Negra	6000 - 6999	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	4
2000	Viudo	24	Negra	10000 - 14999	Ind, pro dem	Protestante	Bautistas del sur	NA
2000	Nunca se ha casado	25	Negra	5000 - 5999	No fuertemente demócrata	Protestante	Bautistas del sur	2
2000	Nunca se ha casado	22	Negra	7000 - 7999	No fuertemente demócrata	Protestante	Bautistas del sur	1
2000	Casado	35	Negra	15000 - 19999	No fuertemente demócrata	Protestante	Asociación bautista estadounidense	NA
2000	Viudo	60	Blanca	No aplica	No fuertemente republicano	Protestante	Otra	4
2000	Casado	27	Blanca	25000 o más	Ind, pro rep	Protestante	Bautistas del sur	2
2000	Casado	49	Blanca	No aplica	Ind, pro dem	Protestante	Otra	NA
2000	Casado	22	Blanca	No aplica	Independiente	Protestante	Asociación bautista estadounidense	2
2000	Casado	70	Blanca	No aplica	Fuertemente republicano	Protestante	Otra presbiteriana	NA
2000	Casado	40	Blanca	20000 - 24999	No fuertemente republicano	Protestante	Bautistas del sur	NA
2000	Divorciado	23	Blanca	10000 - 14999	Ind, pro dem	Protestante	Bautistas del sur	NA
2000	Casado	57	Blanca	25000 o más	Fuertemente republicano	Protestante	Otra	NA
2000	Casado	48	Blanca	4000 - 4999	No fuertemente republicano	Protestante	Otra	NA
2000	Casado	43	Blanca	20000 - 24999	No fuertemente demócrata	Protestante	Bautistas del sur	1
2000	Divorciado	61	Blanca	No aplica	Independiente	Protestante	Bautistas del sur	3
2000	Casado	45	Blanca	8000 - 9999	Ind, pro rep	Protestante	No denominacional	NA
2000	Divorciado	37	Blanca	No aplica	Independiente	Protestante	Otra	4
2000	Divorciado	41	Blanca	No aplica	No fuertemente demócrata	Protestante	No denominacional	10
2000	Casado	49	Blanca	25000 o más	Independiente	Ninguna	No aplica	NA
2000	Casado	68	Blanca	No aplica	Fuertemente demócrata	Protestante	Iglesia presbiteriana de los EEUU	NA
2000	Viudo	74	Blanca	No aplica	Ind, pro dem	Protestante	Otra	6
2000	Casado	33	Blanca	Menos de 1000	No fuertemente demócrata	Protestante	Otra	2
2000	Viudo	83	Blanca	No aplica	No fuertemente republicano	Protestante	Iglesia presbiteriana de los EEUU	5
2000	Viudo	82	Blanca	No aplica	Fuertemente demócrata	Protestante	Iglesia metodista unida	7
2000	Casado	30	Blanca	25000 o más	Ind, pro dem	Católica	No aplica	NA
2000	Casado	61	Blanca	8000 - 9999	No fuertemente demócrata	Protestante	Sínodo luterano	3
2000	Divorciado	56	Blanca	25000 o más	Fuertemente republicano	Protestante	Bautistas del sur	NA
2000	Divorciado	65	Blanca	5000 - 5999	Ind, pro rep	Protestante	No denominacional	0
2000	Casado	65	Blanca	10000 - 14999	Fuertemente demócrata	Protestante	Iglesia metodista unida	2
2000	Casado	44	Blanca	25000 o más	No fuertemente republicano	Protestante	Otras bautistas	NA
2000	Casado	64	Blanca	1000 - 2999	Fuertemente republicano	Protestante	Otras bautistas	4
2000	Casado	33	Blanca	20000 - 24999	No fuertemente republicano	Protestante	No denominacional	NA
2000	Casado	63	Blanca	8000 - 9999	Fuertemente republicano	Protestante	Iglesia metodista unida	NA
2000	Casado	74	Blanca	No aplica	No fuertemente demócrata	Protestante	No denominacional	3
2000	Casado	44	Blanca	No aplica	No fuertemente republicano	Protestante	Luterana, no sabe cuál	8
2000	Divorciado	42	Blanca	8000 - 9999	Independiente	Protestante	Iglesia luterana americana	2
2000	Casado	69	Blanca	No aplica	No fuertemente demócrata	Protestante	Sínodo luterano	5
2000	Nunca se ha casado	52	Blanca	15000 - 19999	Ind, pro rep	Ninguna	No aplica	4
2000	Casado	55	Blanca	25000 o más	Ind, pro rep	Protestante	Otra	4
2000	Casado	53	Blanca	25000 o más	Fuertemente republicano	Protestante	Otra	NA
2000	Casado	71	Blanca	No aplica	No fuertemente demócrata	Protestante	Iglesia luterana americana	NA
2000	Casado	62	Blanca	Se niega a responder	Independiente	Protestante	Otra	NA
2000	Casado	46	Blanca	10000 - 14999	Ind, pro rep	Protestante	Sínodo luterano	2
2000	Casado	46	Blanca	6000 - 6999	No fuertemente demócrata	Protestante	Luterana, no sabe cuál	1
2000	Viudo	71	Blanca	No aplica	No fuertemente republicano	Protestante	Sínodo luterano	3
2000	Nunca se ha casado	20	Blanca	4000 - 4999	Independiente	Ninguna	No aplica	2
2000	Casado	39	Blanca	25000 o más	Independiente	Ninguna	No aplica	NA
2000	Casado	67	Blanca	No aplica	Fuertemente republicano	Protestante	Bautistas del sur	1
2000	Nunca se ha casado	40	Blanca	25000 o más	No fuertemente republicano	Protestante	Unión presbiteriana de iglesias	NA
2000	Viudo	73	Blanca	No aplica	Fuertemente demócrata	Católica	No aplica	4
2000	Casado	34	Blanca	15000 - 19999	Fuertemente republicano	Protestante	Iglesia luterana americana	NA
2000	Viudo	86	Blanca	No aplica	No fuertemente republicano	Protestante	Otra	2
2000	Casado	28	Blanca	15000 - 19999	Independiente	Protestante	Iglesia luterana americana	2
2000	Casado	51	Blanca	25000 o más	No fuertemente republicano	Protestante	Otra	1
2000	Nunca se ha casado	43	Blanca	25000 o más	Ind, pro rep	Protestante	Iglesia luterana americana	2
2000	Nunca se ha casado	27	Otra	25000 o más	No fuertemente demócrata	Católica	No aplica	NA
2000	Casado	39	Blanca	10000 - 14999	Independiente	Protestante	Otra	NA
2000	Viudo	62	Blanca	No aplica	Independiente	Católica	No aplica	0
2000	Casado	46	Blanca	25000 o más	Independiente	Católica	No aplica	1
2000	Casado	40	Blanca	No aplica	No fuertemente demócrata	Católica	No aplica	3
2000	Divorciado	61	Blanca	25000 o más	No fuertemente demócrata	Católica	No aplica	2
2000	Casado	41	Blanca	25000 o más	Fuertemente demócrata	Cristiana	No aplica	NA
2000	Viudo	77	Blanca	Se niega a responder	Fuertemente republicano	Católica	No aplica	NA
2000	Divorciado	59	Blanca	25000 o más	No fuertemente demócrata	Católica	No aplica	NA
2000	Casado	68	Blanca	Se niega a responder	Fuertemente republicano	Católica	No aplica	3
2000	Divorciado	36	Blanca	20000 - 24999	Independiente	Ninguna	No aplica	2
2000	Separado	50	Blanca	25000 o más	Ind, pro rep	Protestante	Iglesias bautistas de EEUU	2
2000	Divorciado	50	Blanca	25000 o más	No fuertemente republicano	Católica	No aplica	NA
2000	Separado	43	Blanca	3000 - 3999	Independiente	Protestante	Metodista, no sabe cuál	NA
2000	Casado	41	Blanca	10000 - 14999	Ind, pro rep	Católica	No aplica	4
2000	Divorciado	60	Blanca	No aplica	Ind, pro dem	Católica	No aplica	NA
2000	Nunca se ha casado	24	Blanca	20000 - 24999	Independiente	Católica	No aplica	1
2000	Separado	46	Blanca	25000 o más	Fuertemente republicano	Católica	No aplica	2
2000	Casado	38	Blanca	25000 o más	No fuertemente republicano	Católica	No aplica	1
2000	Nunca se ha casado	20	Blanca	No aplica	Ind, pro dem	Protestante	Iglesia metodista unida	2
2000	Nunca se ha casado	23	Blanca	25000 o más	No fuertemente republicano	Católica	No aplica	2
2000	Casado	32	Blanca	25000 o más	Otro partido	Protestante	Metodista, no sabe cuál	1
2000	Casado	29	Otra	15000 - 19999	Independiente	Ninguna	No aplica	3
2000	Viudo	89	Blanca	No aplica	Fuertemente republicano	Protestante	Iglesia presbiteriana de los EEUU	NA
2000	Casado	60	Blanca	No aplica	Independiente	Católica	No aplica	NA
2000	Nunca se ha casado	26	Blanca	8000 - 9999	Independiente	Protestante	Metodista, no sabe cuál	2
2000	Divorciado	65	Blanca	8000 - 9999	No fuertemente republicano	Católica	No aplica	NA
2000	Separado	32	Blanca	20000 - 24999	Independiente	Católica	No aplica	1
2000	Nunca se ha casado	54	Blanca	No aplica	No fuertemente demócrata	Protestante	Episcopal	2
2000	Nunca se ha casado	25	Blanca	7000 - 7999	Ind, pro rep	Católica	No aplica	7
2000	Divorciado	67	Blanca	No aplica	Fuertemente demócrata	Católica	No aplica	8
2000	Casado	54	Blanca	No aplica	No fuertemente republicano	Protestante	Otras bautistas	3
2000	Casado	49	Otra	25000 o más	Fuertemente republicano	Católica	No aplica	NA
2000	Separado	30	Blanca	Menos de 1000	Independiente	Católica	No aplica	NA
2000	Viudo	84	Blanca	No aplica	No fuertemente demócrata	Protestante	Bautistas del sur	2
2000	Casado	51	Blanca	25000 o más	Independiente	Protestante	Otra	10
2000	Casado	53	Blanca	10000 - 14999	Fuertemente republicano	Protestante	Otra	1
2000	Viudo	80	Blanca	No aplica	Fuertemente demócrata	Protestante	Bautistas del sur	3
2000	Nunca se ha casado	23	Blanca	20000 - 24999	Fuertemente republicano	Protestante	Bautistas del sur	NA
2000	Casado	29	Blanca	25000 o más	No fuertemente republicano	Protestante	Bautistas del sur	NA
2000	Nunca se ha casado	23	Blanca	6000 - 6999	Independiente	Protestante	Otra	0
2000	Casado	69	Blanca	4000 - 4999	No fuertemente republicano	Protestante	Bautistas del sur	2
2000	Separado	52	Negra	15000 - 19999	No fuertemente demócrata	Protestante	Bautista, no sabe cuál	3
2000	Casado	24	Blanca	20000 - 24999	Ind, pro rep	Protestante	Otras bautistas	3
2000	Nunca se ha casado	38	Negra	25000 o más	Independiente	Protestante	Bautista, no sabe cuál	6
2000	Divorciado	54	Negra	No aplica	Fuertemente demócrata	Protestante	No denominacional	8
2000	Nunca se ha casado	63	Negra	No aplica	Fuertemente republicano	Protestante	Bautista, no sabe cuál	15
2000	Casado	33	Negra	25000 o más	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	NA
2000	Nunca se ha casado	31	Negra	8000 - 9999	Independiente	Protestante	Otras bautistas	4
2000	Casado	31	Blanca	25000 o más	Ind, pro dem	Protestante	No denominacional	2
2000	Casado	75	Blanca	No aplica	No fuertemente demócrata	Protestante	Bautistas del sur	NA
2000	Casado	57	Blanca	25000 o más	Ind, pro dem	Católica	No aplica	NA
2000	Casado	42	Negra	20000 - 24999	Fuertemente demócrata	Protestante	Otra	NA
2000	Casado	64	Negra	20000 - 24999	Fuertemente demócrata	Protestante	Asociación bautista estadounidense	4
2000	Divorciado	38	Negra	20000 - 24999	No fuertemente demócrata	Protestante	Otras bautistas	3
2000	Casado	44	Blanca	25000 o más	Ind, pro rep	Ninguna	No aplica	3
2000	Separado	55	Blanca	10000 - 14999	Fuertemente republicano	Protestante	Bautistas del sur	3
2000	Casado	54	Blanca	No aplica	No fuertemente demócrata	Protestante	Otra	1
2000	Divorciado	72	Blanca	No aplica	Fuertemente demócrata	Protestante	Otra	NA
2000	Nunca se ha casado	19	Blanca	No aplica	Ind, pro dem	Protestante	Bautistas del sur	NA
2000	Casado	38	Blanca	20000 - 24999	Fuertemente republicano	Protestante	Bautistas del sur	0
2000	Nunca se ha casado	61	Blanca	Se niega a responder	Fuertemente republicano	Ninguna	No aplica	1
2000	Casado	59	Blanca	Se niega a responder	Ind, pro dem	Protestante	Otra	NA
2000	Divorciado	49	Blanca	15000 - 19999	Ind, pro rep	Ninguna	No aplica	1
2000	Nunca se ha casado	19	Negra	No aplica	Fuertemente demócrata	Protestante	Iglesias bautistas de EEUU	5
2000	Viudo	79	Negra	No aplica	Fuertemente demócrata	Protestante	Otras bautistas	NA
2000	Casado	57	Negra	25000 o más	Fuertemente demócrata	Protestante	Asociación bautista estadounidense	2
2000	Casado	26	Negra	Menos de 1000	No fuertemente demócrata	Protestante	Otras bautistas	2
2000	Nunca se ha casado	59	Negra	8000 - 9999	Fuertemente demócrata	Protestante	Otras bautistas	4
2000	Casado	35	Negra	8000 - 9999	No fuertemente demócrata	Protestante	Otras bautistas	NA
2000	Casado	41	Blanca	25000 o más	No fuertemente demócrata	Ninguna	No aplica	2
2000	Casado	58	Blanca	25000 o más	Independiente	Ninguna	No aplica	NA
2000	Casado	65	Blanca	8000 - 9999	No fuertemente republicano	Protestante	Iglesia metodista unida	2
2000	Divorciado	33	Blanca	25000 o más	Fuertemente republicano	Protestante	Iglesia presbiteriana de los EEUU	2
2000	Casado	68	Otra	25000 o más	Fuertemente republicano	Protestante	Otra	2
2000	Casado	44	Blanca	6000 - 6999	No fuertemente demócrata	Protestante	Iglesia luterana de EEUU	NA
2000	Nunca se ha casado	20	Blanca	10000 - 14999	Independiente	Protestante	Bautistas del sur	NA
2000	Viudo	57	Blanca	10000 - 14999	No fuertemente republicano	Protestante	Unión presbiteriana de iglesias	NA
2000	Viudo	76	Blanca	No aplica	Fuertemente demócrata	Protestante	Unión presbiteriana de iglesias	6
2000	Viudo	77	Blanca	No aplica	No fuertemente republicano	Protestante	Bautistas del sur	NA
2000	Casado	31	Negra	25000 o más	Fuertemente demócrata	Protestante	Bautistas del sur	4
2000	Viudo	80	Blanca	No aplica	Independiente	Protestante	No denominacional	4
2000	Divorciado	48	Blanca	25000 o más	Independiente	Protestante	Bautistas del sur	NA
2000	Casado	32	Blanca	6000 - 6999	No fuertemente republicano	Protestante	No denominacional	2
2000	Casado	68	Blanca	No aplica	Fuertemente republicano	Protestante	Iglesia presbiteriana de los EEUU	3
2000	Casado	45	Blanca	Se niega a responder	No fuertemente republicano	Protestante	Iglesia luterana americana	2
2000	Casado	52	Otra	20000 - 24999	Fuertemente demócrata	Protestante	Bautistas del sur	2
2000	Casado	49	Blanca	25000 o más	No fuertemente republicano	Protestante	Iglesia metodista unida	3
2000	Divorciado	27	Blanca	20000 - 24999	No fuertemente republicano	Protestante	Bautistas del sur	NA
2000	Nunca se ha casado	46	Negra	10000 - 14999	Independiente	Cristiana	No aplica	NA
2000	Separado	43	Blanca	8000 - 9999	Independiente	Católica	No aplica	3
2000	Nunca se ha casado	21	Otra	10000 - 14999	Independiente	Católica	No aplica	5
2000	Casado	38	Negra	20000 - 24999	Fuertemente demócrata	Protestante	Bautistas del sur	NA
2000	Divorciado	51	Negra	20000 - 24999	Independiente	Protestante	Unión presbiteriana de iglesias	1
2000	Casado	24	Blanca	No aplica	Independiente	Inter o no confesional	No aplica	5
2000	Casado	73	Blanca	25000 o más	No fuertemente republicano	Protestante	Iglesia luterana americana	NA
2000	Divorciado	49	Blanca	15000 - 19999	No fuertemente republicano	Católica	No aplica	NA
2000	Viudo	89	Blanca	No aplica	Fuertemente republicano	Protestante	Sin respuesta	NA
2000	Viudo	78	Blanca	No aplica	Ind, pro rep	Católica	No aplica	2
2000	Divorciado	45	Blanca	20000 - 24999	Ind, pro dem	Protestante	Iglesia luterana americana	3
2000	Divorciado	36	Blanca	No aplica	Fuertemente demócrata	Protestante	Evangélica luterana	4
2000	Casado	40	Blanca	10000 - 14999	Ind, pro dem	Protestante	Iglesia luterana de EEUU	1
2000	Casado	69	Blanca	No aplica	Independiente	Protestante	Luterana, no sabe cuál	8
2000	Nunca se ha casado	28	Blanca	20000 - 24999	No fuertemente republicano	Católica	No aplica	3
2000	Nunca se ha casado	19	Blanca	10000 - 14999	Ind, pro rep	Protestante	Asociación bautista estadounidense	4
2000	Nunca se ha casado	28	Blanca	10000 - 14999	Independiente	Católica	No aplica	2
2000	Divorciado	33	Blanca	No aplica	Independiente	Católica	No aplica	3
2000	Nunca se ha casado	21	Blanca	No aplica	Ind, pro dem	Protestante	Iglesia luterana americana	NA
2000	Nunca se ha casado	35	Blanca	20000 - 24999	Fuertemente republicano	Protestante	Iglesia luterana americana	NA
2000	Nunca se ha casado	27	Otra	15000 - 19999	Independiente	Católica	No aplica	NA
2000	Nunca se ha casado	21	Blanca	No aplica	Fuertemente republicano	Protestante	Sin respuesta	4
2000	Nunca se ha casado	49	Blanca	25000 o más	Ind, pro dem	Protestante	Sínodo luterano	1
2000	Nunca se ha casado	46	Blanca	25000 o más	No fuertemente republicano	Protestante	Unión presbiteriana de iglesias	2
2000	Casado	56	Blanca	25000 o más	No fuertemente republicano	Católica	No aplica	NA
2000	Casado	63	Blanca	Menos de 1000	Independiente	Católica	No aplica	2
2000	Casado	43	Blanca	25000 o más	Fuertemente republicano	Protestante	Luterana, no sabe cuál	NA
2000	Casado	21	Blanca	10000 - 14999	Ind, pro rep	Católica	No aplica	NA
2000	Nunca se ha casado	23	Blanca	No aplica	No fuertemente republicano	Católica	No aplica	1
2000	Casado	48	Blanca	25000 o más	No fuertemente republicano	Protestante	Bautistas del sur	0
2000	Nunca se ha casado	22	Negra	15000 - 19999	No fuertemente demócrata	Protestante	Bautistas del sur	6
2000	Casado	26	Negra	10000 - 14999	Ind, pro dem	Protestante	Otras bautistas	4
2000	Casado	22	Blanca	10000 - 14999	Ind, pro rep	Protestante	Asociación bautista estadounidense	2
2000	Casado	28	Blanca	1000 - 2999	No fuertemente republicano	Protestante	Otra	NA
2000	Divorciado	67	Blanca	No aplica	No fuertemente demócrata	Protestante	Iglesia metodista unida	5
2000	Viudo	83	Blanca	No aplica	Fuertemente republicano	Protestante	Otra	1
2000	Casado	64	Blanca	No aplica	Fuertemente republicano	Protestante	Bautistas del sur	4
2000	Casado	24	Blanca	1000 - 2999	No fuertemente republicano	Católica	No aplica	NA
2000	Divorciado	57	Blanca	25000 o más	Ind, pro rep	Protestante	Otra	NA
